000.044;+08.277;  0.29; 0.07; 2.3; 0.0396;  5.6;  0.38
002.946;+32.420;  0.53; 0.10; 6.2; 0.1073; 10.3;  5.01
005.133;+28.663;  0.51; 0.10; 5.5; 0.0955;  9.4;  3.66
005.407;+28.064;  0.26; 0.07; 4.2; 0.0943;  4.8;  1.82
009.272;+09.153;  0.29; 0.08;10.0; 0.2546;  5.5; 14.89
009.862;+21.255;  0.34; 0.08; 3.2; 0.0619;  5.8;  0.95
010.002;+06.818;  0.65; 0.14; 1.5; 0.0395; 11.0;  0.74
010.123;+29.549;  0.41; 0.09; 4.0; 0.0712;  7.9;  1.71
010.444;+21.374;  0.38; 0.08; 5.0; 0.1014;  6.5;  2.84
010.967;+24.402;  0.61; 0.10; 5.2; 0.0830; 10.9;  3.22
012.452;+24.441;  0.39; 0.08; 4.3; 0.0815;  7.1;  2.01
013.999;+26.378;  0.46; 0.11; 9.8; 0.1971;  9.0; 14.59
014.731;+26.959;  0.24; 0.07; 2.4; 0.0470;  4.6;  0.44
016.868;+32.462;  0.53; 0.10; 1.5; 0.0170;  9.9;  0.12
017.040;+02.182;  0.39; 0.09; 2.6; 0.0447;  6.2;  0.54
018.255;+15.489;  0.25; 0.08; 2.3; 0.0442;  4.5;  0.38
018.787;+00.354;  0.66; 0.11; 2.6; 0.0448; 11.0;  0.95
020.801;+33.461;  0.34; 0.08; 1.2; 0.0146;  6.0;  0.05
020.921;+33.261;  0.92; 0.14; 1.8; 0.0164; 17.1;  0.20
021.266;+08.688;  0.83; 0.16; 4.2; 0.0491; 15.4;  1.59
021.353;+01.741;  0.39; 0.09; 1.3; 0.0181;  6.1;  0.09
028.191;+36.157;  2.53; 0.25; 2.4; 0.0163; 48.6;  0.55
028.203;+01.019;  0.38; 0.08; 9.7; 0.2300;  6.2; 13.71
028.766;+33.898;  0.52; 0.11; 5.2; 0.0872; 10.1;  3.27
037.069;+28.184;  0.23; 0.08; 2.0; 0.0350;  4.9;  0.26
041.534;+36.887;  0.68; 0.10; 5.1; 0.0488; 13.6;  1.38
044.412;+06.006;  0.73; 0.15; 2.1; 0.0238; 16.2;  0.40
044.457;+13.053;  1.23; 0.15; 5.8; 0.0722; 28.8;  6.40
044.737;+13.573;  1.84; 0.17; 7.8; 0.0739; 42.8;  9.94
045.409;+01.927;  0.24; 0.08; 6.8; 0.1690;  5.1;  6.12
045.456;+35.835;  0.23; 0.06; 2.5; 0.0464;  5.4;  0.50
045.849;+01.926;  0.22; 0.08; 6.1; 0.1530;  4.7;  4.63
054.675;+09.977;  2.95; 0.24; 3.0; 0.0349; 80.5;  4.21
055.342;+15.405;  0.60; 0.12; 2.6; 0.0290; 15.5;  0.56
058.249;+19.690;  0.31; 0.08; 5.7; 0.1090;  7.9;  3.98
063.359;+10.466;  1.57; 0.20; 6.8; 0.0882; 39.9; 13.19
064.911;+02.420;  1.95; 0.23; 2.1; 0.0123; 45.7;  0.30
069.755;+07.260;  0.23; 0.07; 9.5; 0.2443;  5.3; 13.25
069.766;+05.339;  0.21; 0.06; 7.9; 0.2080;  4.8;  8.62
073.531;+02.920;  0.40; 0.09; 9.8; 0.2030;  8.4; 14.44
