0.2320;  0;  4.497;  12.4;  6.395;  7.5;  6.876
 0.0490; 40;  7.537;  17.8;  0.421; 10.0;  0.478
 0.0924;  9;  4.155;  18.8;  0.855;  8.5;  0.929
 0.1147; 75;  5.832;  13.6;  1.875; 10.0;  1.995
 0.0620; 83; 12.014;   9.0;  1.089; 12.5;  1.197
 0.0940; 37;  6.071;  11.3;  1.285; 11.5;  1.353
 0.1599;  5;  4.485;  13.8;  2.907;  7.5;  3.160
 0.3066; 65;  4.964;  18.7; 12.787; 12.0; 12.916
 0.0645;  4;  3.426;  18.3;  0.336; 11.5;  0.354
 0.0968; 23;  3.211;  20.0;  0.729; 11.5;  0.752
 0.1410;  3;  5.910;  12.1;  2.909;  7.5;  3.232
 0.0491;  3;  8.818;   9.7;  0.494; 13.0;  0.537
 0.1448;  1;  4.286;  17.1;  2.247;  8.5;  2.390
 0.1120;  5;  4.836;  13.3;  1.491; 13.0;  1.521
 0.0812;  2;  8.629;   7.9;  1.360; 28.0;  1.388
 0.0277; 20;  4.068;  19.3;  0.071; 13.5;  0.077
 0.0555;308; 74.215;   3.2;  5.293; 25.0;  5.631
 0.1082; 29;  9.774;   9.8;  2.788; 10.0;  3.030
 0.2924;  7;  3.186;  15.6;  7.387;  8.5;  7.615
 0.1084; 18;  5.228;  16.0;  1.503; 11.0;  1.566
 0.1141;  7; 11.264;  21.2;  3.547; 12.5;  3.734
 0.1653; 21;  3.985;  17.3;  2.764; 13.0;  2.792
 0.0442;104; 33.613;   5.3;  1.505; 26.5;  1.568
 0.0661;  8;  7.225;  36.0;  0.743; 11.5;  0.799
 0.0569;  9; 19.031;   6.7;  1.439; 13.0;  1.617
 0.2300;  0;  3.884;  15.7;  5.416;  7.5;  5.762
 0.1909;  1;  3.209;  21.1;  3.010; 14.0;  3.040
 0.1186; 19;  3.557;  13.6;  1.229; 12.0;  1.254
 0.0436;  8;  4.369;  16.0;  0.192; 12.0;  0.206
 0.0533; 63;  6.862;   9.8;  0.456;  8.5;  0.530
 0.0970; 13;  3.703;  15.3;  0.845; 10.0;  0.889
